DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE,PORTFOLIO_NAME,PORTFOLIO_ID,LEG_NO
12-Jun-2024,OPTIONS,LTFINA,LTFINA-27-Jun-2024-170-CE,7.5,2.45,4462,OPEN,-4.4,4462,4.4,4462,15,Stock Long Call,105193,1
13-Jun-2024,OPTIONS,LTFINA,LTFINA-27-Jun-2024-170-CE,7.5,2.45,4462,CLOSE,-4.4,4462,4.4,4462,15,Stock Long Call,105193,1
13-Jun-2024,OPTIONS,CNXBAN,CNXBAN-19-Jun-2024-50500-CE,75.0,172.5,15,OPEN,170.0,15,-170.0,15,6,Index Sell Call,105321,1
13-Jun-2024,OPTIONS,CNXBAN,CNXBAN-19-Jun-2024-50500-CE,75.0,172.5,15,CLOSE,170.0,15,-170.0,15,6,Index Sell Call,105321,1
13-Jun-2024,OPTIONS,NIFTY,NIFTY-13-Jun-2024-23400-PE,60.0,24.9,25,OPEN,-56.0,25,56.0,25,0,Index Long Put,105354,1
13-Jun-2024,OPTIONS,NIFTY,NIFTY-13-Jun-2024-23400-PE,60.0,24.9,25,CLOSE,-56.0,25,56.0,25,0,Index Long Put,105354,1
14-Jun-2024,OPTIONS,NIFTY,NIFTY-20-Jun-2024-23150-PE,15.0,50.5,25,OPEN,49.0,25,-49.0,25,6,Index Sell Put,105496,1
14-Jun-2024,OPTIONS,NIFTY,NIFTY-20-Jun-2024-23150-PE,15.0,50.5,25,CLOSE,49.0,25,-49.0,25,6,Index Sell Put,105496,1
14-Jun-2024,OPTIONS,JINSP,JINSP-27-Jun-2024-1050-CE,55.0,14.0,625,OPEN,-29.5,625,0.0,0,13,Stock Long Call,105507,1
14-Jun-2024,OPTIONS,ADAPOR,ADAPOR-27-Jun-2024-1420-CE,80.0,28.0,400,OPEN,-41.0,400,64.1,400,13,Bull Call Spread,105523,1
14-Jun-2024,OPTIONS,ADAPOR,ADAPOR-27-Jun-2024-1520-CE,80.0,4.0,400,OPEN,11.5,400,-14.3,400,13,Bull Call Spread,105523,2
14-Jun-2024,OPTIONS,NIFTY,NIFTY-20-Jun-2024-23400-CE,200.0,146.5,25,OPEN,-148.0,25,148.0,25,6,Index Long Call,105559,1
14-Jun-2024,OPTIONS,NIFTY,NIFTY-20-Jun-2024-23400-CE,200.0,146.5,25,CLOSE,-148.0,25,148.0,25,6,Index Long Call,105559,1
14-Jun-2024,OPTIONS,BANBAR,BANBAR-27-Jun-2024-285-CE,13.0,0.9,2925,OPEN,-7.6,2925,1.15,2925,13,Bull Call Spread,105611,1
14-Jun-2024,OPTIONS,BANBAR,BANBAR-27-Jun-2024-300-CE,13.0,0.9,2925,OPEN,2.3,2925,-0.35,2925,13,Bull Call Spread,105611,2
20-Jun-2024,OPTIONS,VEDLIM,VEDLIM-27-Jun-2024-460-CE,18.0,6.0,2300,OPEN,-11.0,2300,18.0,2300,7,Stock Long Call,106276,1
20-Jun-2024,OPTIONS,VEDLIM,VEDLIM-27-Jun-2024-460-CE,18.0,6.0,2300,CLOSE,-11.0,2300,18.0,2300,7,Stock Long Call,106276,1
21-Jun-2024,OPTIONS,ADAPOR,ADAPOR-27-Jun-2024-1420-CE,80.0,28.0,400,CLOSE,-41.0,400,64.1,400,13,Bull Call Spread,105523,1
21-Jun-2024,OPTIONS,ADAPOR,ADAPOR-27-Jun-2024-1520-CE,80.0,4.0,400,CLOSE,11.5,400,-14.3,400,13,Bull Call Spread,105523,2
21-Jun-2024,OPTIONS,CNXBAN,CNXBAN-26-Jun-2024-51700-PE,500.0,900.0,15,OPEN,368.0,15,0.0,0,5,Index Strategy,106458,1
21-Jun-2024,OPTIONS,CNXBAN,CNXBAN-26-Jun-2024-51700-CE,500.0,900.0,15,OPEN,390.0,15,0.0,0,5,Index Strategy,106458,2
21-Jun-2024,OPTIONS,NIFFIN,NIFFIN-25-Jun-2024-23000-PE,176.0,122.0,40,OPEN,-145.0,40,0.0,0,4,Index Long Put,106474,1
21-Jun-2024,OPTIONS,NIFTY,NIFTY-27-Jun-2024-23750-CE,30.0,95.1,25,OPEN,68.0,25,0.0,0,6,Index Sell Call,106476,1
12-Jun-2024,OPTIONS,AUSMA,AUSMA-27-Jun-2024-700-CE,705.0,659.0,1000,OPEN,7.0,1000,-3.0,1000,15,Covered Call,105100,1
24-Jun-2024,OPTIONS,BANBAR,BANBAR-27-Jun-2024-285-CE,13.0,0.9,2925,CLOSE,-7.6,2925,1.15,2925,13,Bull Call Spread,105611,1
24-Jun-2024,OPTIONS,BANBAR,BANBAR-27-Jun-2024-300-CE,13.0,0.9,2925,CLOSE,2.3,2925,-0.35,2925,13,Bull Call Spread,105611,2
24-Jun-2024,OPTIONS,NIFTY,NIFTY-27-Jun-2024-23550-CE,175.0,84.9,25,OPEN,-121.0,25,0.0,0,3,Index Long Call,106742,1
24-Jun-2024,OPTIONS,AUSMA,AUSMA-27-Jun-2024-700-CE,705.0,659.0,1000,CLOSE,7.0,1000,-3.0,1000,15,Covered Call,105100,1
